time,sp500
149,4.655996591029166
150,4.6621359747845394
151,4.668306465150201
152,4.6745067079501395
153,4.680735849742396
154,4.6869937945512286
155,4.693281085175113
156,4.699598619368035
157,4.705947580142887
158,4.712329185423486
159,4.718744637598751
160,4.725195327834044
161,4.731682597957947
162,4.738207481723973
163,4.744770790489843
164,4.751373132985863
165,4.758015001781326
166,4.764697083205146
167,4.771420068496033
168,4.778184209896507
169,4.784989341855586
170,4.791834764314021
171,4.798719237405385
172,4.805641357672855
173,4.812599505395922
174,4.819591765397609
175,4.826616097682133
176,4.83367033273419
177,4.840752393016019
178,4.847860720262062
179,4.85499411081486
180,4.8621513516467125
181,4.869331139501099
182,4.876531715434151
183,4.8837509841691915
184,4.890987126734141
185,4.8982383813765615
186,4.905502828880288
187,4.912778530731439
188,4.920063306110878
189,4.9273549237932635
190,4.934651625205931
191,4.941951886118775
192,4.949254063838223
193,4.956556396685447
194,4.963856686749381
195,4.97115235727685
196,4.978440911513496
197,4.985719818574348
198,4.9929864681569045
199,5.000238219150422
200,5.007472114914087
201,5.014685080896976
202,5.021874340976093
203,5.029037254909273
204,5.036171173135292
205,5.0432732970571985
206,5.050340155511205
207,5.057367692757115
208,5.06435166196812
209,5.071287406801917
210,5.078169809966285
211,5.084993357427287
212,5.091751930251795
213,5.098438999930219
214,5.105048017677481
215,5.111572270529676
216,5.1180046908100385
217,5.124337828231468
218,5.130563547854974
219,5.136673109570148
220,5.142657539429551
221,5.148507639398525
222,5.154214171805474
223,5.1597679826128955
224,5.165159873751782
225,5.170380882689687
226,5.175422635436098
227,5.180277253910919
228,5.184937235650672
229,5.189395361715978
230,5.193644329546732
231,5.197676915214699
232,5.201486475280058
233,5.205066884585859
234,5.208412624253432
235,5.211518881121465
236,5.214381291923125
237,5.2169960934768005
238,5.219360355631292
239,5.221471843080158
240,5.223328942599794
241,5.224930504582181
242,5.226275433372664
243,5.22736277767715
244,5.228192047592013
245,5.228763239642014
246,5.229077126340013
247,5.229135169851355
248,5.228939029780076
249,5.228490796190264
250,5.227793250894089
251,5.2268497267670355
252,5.225664205173272
253,5.224241064285651
254,5.22258443601153
255,5.22069834824676
256,5.218587044655452
257,5.216254893656667
258,5.213706655861372
259,5.210947501046488
260,5.207982701592634
261,5.2048178280232245
262,5.2014589124560935
263,5.197912405492887
264,5.194185300836133
265,5.19028492106684
266,5.186218417150823
267,5.181992830746829
268,5.177615234597389
269,5.1730928439967006
270,5.1684335789765745
271,5.163646010993857
272,5.158739016345475
273,5.153722058533703
274,5.148605283496338
275,5.143399411520757
276,5.1381158082733265
277,5.132766174737663
278,5.127361959531668
279,5.121914451666319
280,5.116435050241563
281,5.110935212130283
282,5.105426754952282
283,5.09992189285976
284,5.0944329788583005
285,5.088972632521882
286,5.083553737172201
287,5.078189326140295
288,5.072892582872232
289,5.0676766293683935
290,5.0625541944278085
291,5.057537632333023
292,5.052639044110869
293,5.047870335018892
294,5.043243531490464
295,5.038770721227265
296,5.034463746752165
297,5.030334318346214
298,5.026393998480498
299,5.022654056509175
300,5.01912546477172
301,5.015818656271487
302,5.012743138805152
303,5.00990750895352
304,5.007319569738801
305,5.004986331983303
306,5.002914267785887
307,5.0011093995092955
308,4.999577265038857
309,4.998323044184452
310,4.997351550217379
311,4.996667282863394
312,4.996274548215654
313,4.996177317544589
314,4.996378998108486
315,4.996882451868821
316,4.997690016992464
317,4.998803699279698
