time,QN
59,2.694328080546763
60,2.600646970632664
61,2.5104452428053006
62,2.4237252695329086
63,2.340466777669796
64,2.2606289591857007
65,2.184150655323572
66,2.110953369459693
67,2.040944454561308
68,1.974020190327909
69,1.9100689322379327
70,1.8489733787868863
71,1.7906155991079082
72,1.7348830376282138
73,1.6816689247496535
74,1.6308706326873361
75,1.5823907406633837
76,1.5361354962359537
77,1.4920161239956267
78,1.4499538391567524
79,1.409876841301909
80,1.3717158986966356
81,1.3354038457670896
82,1.300871923682256
83,1.2680457174662552
84,1.2368422680677211
85,1.2071687232208403
86,1.1789233706406117
87,1.1519945294695675
88,1.1262602236437442
89,1.1015897640822925
90,1.0778447819494668
91,1.0548841521966599
92,1.0325719169802854
93,1.0107758938050977
94,0.9893624535155051
95,0.9682002537080958
96,0.9471619884941578
97,0.9261247298393017
98,0.9049750981668679
99,0.8836077902017795
100,0.8619211928902435
101,0.8398196339650588
102,0.8172145656921155
103,0.7940221394897901
104,0.770162247968676
105,0.7455576130487269
106,0.7201316643513339
107,0.6938069645439487
108,0.666503711325887
109,0.63813904998252
110,0.6086275645058284
111,0.5778811894607008
112,0.5458098208119025
113,0.5123237880720298
114,0.4773372048877547
115,0.44077284171664904
116,0.40256908990990464
117,0.3626818147348157
118,0.3210833825428636
119,0.2777684859425131
120,0.23275953031342958
121,0.1861061245570176
122,0.1378848200122224
123,0.08819798249467059
124,0.037168785605628
125,-0.015056915131082323
126,-0.06830497559266904
127,-0.12237729005158168
128,-0.1770562060805383
129,-0.232106534142568
130,-0.2872825906341028
131,-0.3423328021461961
132,-0.39700302618676137
133,-0.4510407501127174
134,-0.5041965019892648
135,-0.5562274205333284
136,-0.6069012211607541
137,-0.6559968670576067
138,-0.7033051162632623
139,-0.748627160740315
140,-0.7917702588925404
141,-0.8325501243313042
142,-0.8707964924366548
143,-0.9063505406545449
144,-0.9390630267064529
145,-0.968794072376377
146,-0.995408735411573
147,-1.0187763323278292
148,-1.0387715385064695
149,-1.0552747320092313
150,-1.0681757702314296
151,-1.0773770497660349
152,-1.0827970255973791
153,-1.0843729772931086
154,-1.0820616153251477
155,-1.0758452981783797
156,-1.0657399613267329
157,-1.0517940095962997
158,-1.03408487631989
159,-1.012720092121117
160,-0.9878346607385359
161,-0.9595890053743251
162,-0.9281697961097871
163,-0.8937822047176224
164,-0.8566389310703586
165,-0.8169592260207686
166,-0.7749690075297004
167,-0.7308932906032245
168,-0.6849508633421111
169,-0.6373518260018909
170,-0.5882931346752989
171,-0.5379577515147385
172,-0.48651700165022016
173,-0.4341256394752679
174,-0.3809147941413618
175,-0.3269930713455692
176,-0.2724472320145304
177,-0.21734556884013065
178,-0.16174857874597126
179,-0.10571534576468376
180,-0.04931126530496898
181,0.007389346316207072
182,0.06430917262566868
183,0.12136201620157966
184,0.17844682099933803
185,0.23545355743070576
186,0.29226832565866234
187,0.3487823514404845
188,0.40490961363360334
189,0.4605835847513646
190,0.5157428599367601
191,0.5703404232666355
192,0.6243496758189091
193,0.677761620213127
194,0.7305916573012451
195,0.7828746369358581
196,0.8346515423548494
197,0.8859741782425149
198,0.9369116601505069
199,0.9875432765652513
200,1.0379548816755377
201,1.0882378200579725
202,1.1384825226440964
203,1.1887766501232506
204,1.2392056381911891
205,1.2898451169838911
206,1.3407518120205661
207,1.3919591325331553
208,1.4434705245257453
209,1.4952637308631718
210,1.5473059995517409
211,1.5995590493559533
212,1.6519883464718095
213,1.7045696488195328
214,1.7572849316400634
215,1.8101376849360298
216,1.863172972113465
217,1.9164677330631927
218,1.9701143996167032
219,2.0242157502113582
220,2.0788663396649794
221,2.134155296152703
222,2.1901906463587566
223,2.24708400143867
224,2.3049335401529376
225,2.363831150562612
226,2.4238577963590955
227,2.4850849976957727
228,2.547589732020201
229,2.6114441966060964
230,2.6766973062428203
231,2.743378623203001
232,2.8114975703530853
233,2.8810413440427536
234,2.9519857249577517
235,3.024293979447742
236,3.097912897157676
237,3.1727844989119816
238,3.2488581725840424
239,3.326101638168064
240,3.4045197929091886
241,3.484149621670979
242,3.5650381254058434
243,3.6472442650642187
244,3.7308342023836634
245,3.8158719289774923
246,3.902424077893314
247,3.9905393264407523
248,4.080216644559285
249,4.171419912460919
250,4.264105739412636
251,4.35822384685127
252,4.4537338685113586
253,4.550603194971791
254,4.64877445493704
255,4.748182405794432
256,4.848776389651224
257,4.950507504823335
258,5.053328501725119
259,5.157191303581936
260,5.262027308814577
261,5.367761168671709
262,5.474339896416912
263,5.581731318246619
264,5.689929863280228
265,5.798959908959978
266,5.908857171161407
267,6.0196745776493366
268,6.131492353155404
269,6.24440156176958
270,6.358489549923329
271,6.473824545238642
272,6.59042586904353
273,6.708271207252531
274,6.827327161222628
275,6.947541538077831
276,7.06884440069474
277,7.191158074007496
278,7.314386743720933
279,7.438438162904712
280,7.563260631432269
281,7.688823327841709
282,7.815082450350775
