time,QN
0,6.653168162318676
1,6.4816533678342525
2,6.309869426197429
3,6.138179233144342
4,5.966530676608482
5,5.795071420664749
6,5.624246329026999
7,5.454429824972737
8,5.286110104637424
9,5.119686289876044
10,4.955126575769783
11,4.792421838699842
12,4.631602640320562
13,4.472508538978049
14,4.314982650363097
15,4.1587096444708544
16,4.003069698436363
17,3.8476586285043934
18,3.6924869255883737
19,3.537694797081231
20,3.3837587114961236
21,3.2311946040153954
22,3.0801584582532096
23,2.931102034888621
24,2.7848127112311434
25,2.641862009066721
26,2.502701670349216
27,2.3676072849036736
28,2.2363638916022697
29,2.1089912264365056
30,1.9861505566520479
31,1.8683635947993262
32,1.7561431818636137
33,1.6500348755732361
34,1.5501048748481003
35,1.4565141913224324
36,1.3696828419851763
37,1.2897243116151653
38,1.2165553942327234
39,1.1499413161674967
40,1.0892441107843773
41,1.034009382311215
42,0.9843290465834807
43,0.9403108604473204
44,0.9022492873880618
45,0.8704332007703176
46,0.8446297580919926
47,0.8247881640908616
48,0.8111285148051502
49,0.8036232575637963
50,0.8021996029206113
51,0.8066118092057815
52,0.8161459139486502
53,0.8302457419963611
54,0.84876615320868
55,0.8714222706851783
56,0.8979354689415583
57,0.9279891747893529
58,0.960844896851078
59,0.9958037026261504
60,1.0323015674726985
61,1.069549698192436
62,1.106671029853908
63,1.1426697213575907
64,1.176261567562767
65,1.2063731889370517
66,1.2324091771942691
67,1.2538949310696113
68,1.2706542506335121
69,1.2826108044774522
70,1.28939336870699
71,1.2909550579611633
72,1.2876489515388976
73,1.2796617662644183
74,1.2670851266240541
75,1.2499161230337188
76,1.2277550327905626
77,1.2004962940847745
78,1.168749835255911
79,1.1330749257906245
80,1.0941021551797232
81,1.052471428242647
82,1.0082431331631962
83,0.9615296619285751
84,0.9126057473190939
85,0.8614493182538889
86,0.8079805155354965
87,0.7518768146410024
88,0.6923055420528802
89,0.6287636527494047
90,0.5614516286824996
91,0.49072580963091283
92,0.417409068881144
