time,price
1950-01,34.67319646837179
1950-02,34.669601582547664
1950-03,34.66630316801592
1950-04,34.66338446218462
1950-05,34.66092368193505
1950-06,34.65896618356074
1950-07,34.657571312804436
1950-08,34.656809743732
1950-09,34.65673591817068
1950-10,34.65740246549351
1950-11,34.658843103431316
1950-12,34.661052733405946
1951-01,34.66403351100621
1951-02,34.66781050900935
1951-03,34.67239121745304
1951-04,34.6777756186184
1951-05,34.68395943140737
1951-06,34.69091131857322
1951-07,34.69860105283762
1951-08,34.70700931425198
1951-09,34.71609137495415
1951-10,34.72577528213669
1951-11,34.735976224356214
1951-12,34.746583519547656
1952-01,34.75749785528879
1952-02,34.768664934240405
1952-03,34.78003518125178
1952-04,34.79157424816002
1952-05,34.8032574028351
1952-06,34.81503367551899
1952-07,34.82687819117116
1952-08,34.83880397004714
1952-09,34.850792708810005
1952-10,34.86278729045876
1952-11,34.87470762251837
1952-12,34.8864170348867
1953-01,34.89779276830029
1953-02,34.90878226359103
1953-03,34.919306307069085
1953-04,34.92926644790683
1953-05,34.93859015311131
1953-06,34.94719305783328
1953-07,34.95502221344536
1953-08,34.962092282895995
1953-09,34.96839647644792
1953-10,34.97388494283858
1953-11,34.97852973497701
1953-12,34.98230150774444
1954-01,34.9851821355995
1954-02,34.98721158835249
1954-03,34.98842761030266
1954-04,34.98885552676586
1954-05,34.988558979177235
1954-06,34.9876267460452
1954-07,34.98617201868936
1954-08,34.984355425026614
1954-09,34.98231150169237
1954-10,34.980102916639844
1954-11,34.97777891626463
1954-12,34.975350055402565
1955-01,34.972815885192006
1955-02,34.97022802633621
1955-03,34.96759263877391
1955-04,34.96485665420876
1955-05,34.962012823105304
1955-06,34.9590992646577
1955-07,34.95618932716469
1955-08,34.953446139635616
1955-09,34.95100326669435
1955-10,34.94888250024059
1955-11,34.94714153841384
1955-12,34.94585732052584
1956-01,34.94507811771059
1956-02,34.94489418211499
1956-03,34.94535682019171
1956-04,34.94643120260784
1956-05,34.94812291801115
1956-06,34.95049293235838
1956-07,34.953588222495846
1956-08,34.957481287878956
1956-09,34.96222131230134
1956-10,34.96776410867989
1956-11,34.97406637518572
1956-12,34.98108576977158
1957-01,34.98873992658438
1957-02,34.99695090716855
1957-03,35.005603795451826
1957-04,35.01451753429811
1957-05,35.02355297007879
1957-06,35.03264884136402
1957-07,35.0417682368943
1957-08,35.0509428008016
1957-09,35.06020606030272
1957-10,35.069511997310975
1957-11,35.07887065073873
1957-12,35.08835386316159
1958-01,35.09798687365449
1958-02,35.10777137150814
1958-03,35.11766888906684
1958-04,35.1275374486382
1958-05,35.13727921453216
1958-06,35.146919521271165
1958-07,35.15645218068863
1958-08,35.165867121901265
1958-09,35.17516846064854
1958-10,35.1842814324529
1958-11,35.193161100824284
1958-12,35.20183031781937
1959-01,35.2102593556388
1959-02,35.218376494843106
1959-03,35.22609899078521
1959-04,35.23328591057589
1959-05,35.23982985145464
1959-06,35.24572725718838
1959-07,35.25097739122987
1959-08,35.25560344380218
1959-09,35.259646745866625
1959-10,35.26308855143036
1959-11,35.265949469392986
1959-12,35.26831187922706
1960-01,35.27021025977034
1960-02,35.271636358652934
1960-03,35.272549721985875
1960-04,35.27282303268924
1960-05,35.27234552835987
1960-06,35.27109110514357
1960-07,35.26898949173923
1960-08,35.2659397495143
1960-09,35.26186135956118
1960-10,35.256641705021714
1960-11,35.25019430441141
1960-12,35.24250195860696
1961-01,35.23350076306999
1961-02,35.22305292915371
1961-03,35.21102524935446
1961-04,35.19725660510052
1961-05,35.181616287053885
1961-06,35.164092719891805
1961-07,35.14468944217213
1961-08,35.12343107062895
1961-09,35.100396479640565
1961-10,35.07565678071453
1961-11,35.04935228549324
1961-12,35.02172924603798
1962-01,34.9930010254363
1962-02,34.963317109592225
1962-03,34.93282167387035
1962-04,34.90159485435675
1962-05,34.86976803758365
1962-06,34.837638732709266
1962-07,34.8054889042121
1962-08,34.773591968645
1962-09,34.74225885243872
1962-10,34.7117332691236
1962-11,34.68229434941575
1962-12,34.654303265880465
1963-01,34.628073555365226
1963-02,34.603879188857185
1963-03,34.58198485921792
1963-04,34.56259285626153
1963-05,34.545970700820554
1963-06,34.53254634609609
1963-07,34.522780838730334
1963-08,34.51720445346759
1963-09,34.51637730457588
1963-10,34.52076601909063
1963-11,34.53091167389871
1963-12,34.547454216776025
1964-01,34.570900364712315
1964-02,34.60159194138607
1964-03,34.639740013990135
1964-04,34.68530275304194
1964-05,34.73820798157632
1964-06,34.798522867856974
1964-07,34.86612089850519
1964-08,34.940692178636525
1964-09,35.02194392553608
1964-10,35.109510987768125
1964-11,35.20304044374464
1964-12,35.30232493356746
1965-01,35.406941391642754
1965-02,35.51608832672804
1965-03,35.62890878844977
1965-04,35.7444062898831
1965-05,35.86159994222602
1965-06,35.97985813659802
1965-07,36.09852945577148
1965-08,36.216942167373716
1965-09,36.33454244456362
1965-10,36.450675342242846
1965-11,36.56484933247584
1965-12,36.67687501451781
1966-01,36.786292707317514
1966-02,36.89220225838127
1966-03,36.9935240257091
1966-04,37.08875508365378
1966-05,37.17643259902942
1966-06,37.255625718308806
1966-07,37.325147710568714
1966-08,37.38356675908162
1966-09,37.42979349789475
1966-10,37.462914907293616
1966-11,37.48239183115992
1966-12,37.48843998958089
1967-01,37.48120426697562
1967-02,37.46039123263746
1967-03,37.42612039879918
1967-04,37.37877845086497
1967-05,37.31879448482638
1967-06,37.24703142717224
1967-07,37.164326340126834
1967-08,37.07123721223992
1967-09,36.96886034453781
1967-10,36.85899966783496
1967-11,36.743683086197
