time,index
1871-01-01,12.698206834145132
1871-02-01,12.682003395028984
1871-03-01,12.664147725801987
1871-04-01,12.644652213819548
1871-05-01,12.623496360472291
1871-06-01,12.600661889276932
1871-07-01,12.57612401751734
1871-08-01,12.549861510534173
1871-09-01,12.521890094881545
1871-10-01,12.492218565137993
1871-11-01,12.46084246974062
1871-12-01,12.427773009513116
1872-01-01,12.393020992308607
1872-02-01,12.356607467316714
1872-03-01,12.318580508618412
1872-04-01,12.27897883112418
1872-05-01,12.237820504036291
1872-06-01,12.195129219074023
1872-07-01,12.150924026681391
1872-08-01,12.105234279354338
1872-09-01,12.058126293820584
1872-10-01,12.009671338928191
1872-11-01,11.95994583834202
1872-12-01,11.90904024365747
1873-01-01,11.857038970720778
1873-02-01,11.804042145373106
1873-03-01,11.750175109745307
1873-04-01,11.695546264962527
1873-05-01,11.64023700892368
1873-06-01,11.584316371319085
1873-07-01,11.527821757789678
1873-08-01,11.470791118972864
1873-09-01,11.413294026267334
1873-10-01,11.355376553293823
1873-11-01,11.297061206531172
1873-12-01,11.23838212327001
1874-01-01,11.179370338842983
1874-02-01,11.120066749853768
1874-03-01,11.060544571843655
1874-04-01,11.000852316095713
1874-05-01,10.940988510707882
1874-06-01,10.880953128810818
1874-07-01,10.820734544298181
1874-08-01,10.760330875529373
1874-09-01,10.69980024517517
1874-10-01,10.639205273171333
1874-11-01,10.57861183043642
1874-12-01,10.51811297201265
1875-01-01,10.457798133857958
1875-02-01,10.397788993199912
1875-03-01,10.338260687646573
1875-04-01,10.279360574648296
1875-05-01,10.221183372588074
1875-06-01,10.163810344944961
1875-07-01,10.107275520587635
1875-08-01,10.051629365760029
1875-09-01,9.997008511681944
1875-10-01,9.943525731329908
1875-11-01,9.891271100180258
1875-12-01,9.840348952793905
1876-01-01,9.79082043221519
1876-02-01,9.74275761777352
1876-03-01,9.69627482841107
1876-04-01,9.651444108698165
1876-05-01,9.608289928664343
1876-06-01,9.566821961753977
1876-07-01,9.527003856597876
1876-08-01,9.488814719741724
1876-09-01,9.452306855379428
1876-10-01,9.417528233302791
1876-11-01,9.384535401133897
1876-12-01,9.353387393613406
1877-01-01,9.324082132231151
1877-02-01,9.296635506012366
1877-03-01,9.271098222919857
1877-04-01,9.247488274193019
1877-05-01,9.225810722408124
1877-06-01,9.206050852439807
1877-07-01,9.188138772535765
1877-08-01,9.172020473722654
1877-09-01,9.157690981102569
1877-10-01,9.145127652540674
1877-11-01,9.134306011652955
1877-12-01,9.125192620762549
1878-01-01,9.117696095939026
1878-02-01,9.111723622890542
1878-03-01,9.107190966704962
1878-04-01,9.10398396485451
1878-05-01,9.101979916489167
1878-06-01,9.10103537140138
1878-07-01,9.100965632824556
1878-08-01,9.101614166121365
1878-09-01,9.102885076913378
1878-10-01,9.104700621811746
1878-11-01,9.107028261556602
1878-12-01,9.109844514818064
1879-01-01,9.113079681878029
1879-02-01,9.116708080740834
1879-03-01,9.120755805823046
1879-04-01,9.125225103101398
1879-05-01,9.130108446684272
1879-06-01,9.135382514535882
1879-07-01,9.140965977695842
1879-08-01,9.146819214920063
1879-09-01,9.153000844046074
1879-10-01,9.159562582884288
1879-11-01,9.166568247880276
1879-12-01,9.174073831299163
1880-01-01,9.182039062117004
1880-02-01,9.190422376564205
1880-03-01,9.199191622881232
1880-04-01,9.20826639438944
1880-05-01,9.21756118833232
1880-06-01,9.22694276830362
1880-07-01,9.236191082490702
1880-08-01,9.24513340736376
1880-09-01,9.25369607901079
1880-10-01,9.261826966129018
1880-11-01,9.269547896287335
1880-12-01,9.276861162261097
1881-01-01,9.283631673245647
1881-02-01,9.289767469809648
1881-03-01,9.295222751434592
1881-04-01,9.299918185448174
1881-05-01,9.303823311348337
1881-06-01,9.3068813609444
1881-07-01,9.30895065053462
1881-08-01,9.30995140966242
1881-09-01,9.309890642463364
1881-10-01,9.308781633733858
1881-11-01,9.306691522121639
1881-12-01,9.303667082813037
1882-01-01,9.299638737410636
1882-02-01,9.29454556571587
1882-03-01,9.288327995726256
1882-04-01,9.280905104271957
1882-05-01,9.272256989386564
1882-06-01,9.262333233924696
1882-07-01,9.251019906680689
1882-08-01,9.238253596914811
1882-09-01,9.224019052236326
1882-10-01,9.208328619662646
1882-11-01,9.191275006791654
1882-12-01,9.17293686900027
1883-01-01,9.153311476375638
1883-02-01,9.132435244972353
1883-03-01,9.110371342418905
1883-04-01,9.087175462540255
1883-05-01,9.062956037051286
1883-06-01,9.03781021974316
1883-07-01,9.011789941120172
1883-08-01,8.984995039481296
1883-09-01,8.957579163604242
1883-10-01,8.92970741362438
1883-11-01,8.901587781395085
1883-12-01,8.873400677773635
1884-01-01,8.8452286890142
1884-02-01,8.817142113653514
1884-03-01,8.789182014007924
1884-04-01,8.761358757203553
1884-05-01,8.733718285590447
1884-06-01,8.706250244994505
1884-07-01,8.67886232661018
1884-08-01,8.651499640521171
1884-09-01,8.624154176513814
1884-10-01,8.596835236896588
1884-11-01,8.569625342999663
1884-12-01,8.542563044941804
1885-01-01,8.515549190041176
1885-02-01,8.48850411058649
1885-03-01,8.461353712197173
1885-04-01,8.434015886702417
1885-05-01,8.406506811266413
1885-06-01,8.378832970673407
1885-07-01,8.350960380795833
1885-08-01,8.322916483378346
1885-09-01,8.294761613362981
1885-10-01,8.266597407754855
1885-11-01,8.238617493605378
1885-12-01,8.210964063439205
1886-01-01,8.183648450674179
1886-02-01,8.156662821618353
1886-03-01,8.129931580934963
1886-04-01,8.103385695601194
1886-05-01,8.07709521040917
1886-06-01,8.051078204043634
