time,price
1871-01-01,93.28875206730737
1871-02-01,93.30644631038876
1871-03-01,93.32723277649127
1871-04-01,93.35119301909845
1871-05-01,93.37841188517316
1871-06-01,93.40897895877727
1871-07-01,93.44300038343307
1871-08-01,93.48057158278543
1871-09-01,93.52176184206448
1871-10-01,93.56664308848877
1871-11-01,93.61528471264504
1871-12-01,93.66775673501033
1872-01-01,93.72415224576302
1872-02-01,93.78456293170079
1872-03-01,93.84907512105308
1872-04-01,93.91778690283947
1872-05-01,93.99079861185764
1872-06-01,94.06822033295238
1872-07-01,94.15018200230374
1872-08-01,94.2368016853121
1872-09-01,94.32817189806838
1872-10-01,94.42437986116855
1872-11-01,94.52549569546508
1872-12-01,94.63159199079877
1873-01-01,94.74277143424226
1873-02-01,94.8591252389873
1873-03-01,94.98073154725172
1873-04-01,95.10768256285407
1873-05-01,95.24007180476627
1873-06-01,95.37800564335016
1873-07-01,95.52162062282834
1873-08-01,95.67104472796665
1873-09-01,95.82638331291254
1873-10-01,95.98775249816383
1873-11-01,96.15527021314129
1873-12-01,96.32905711302575
1874-01-01,96.50925819240712
1874-02-01,96.69601630362057
1874-03-01,96.88946548920318
1874-04-01,97.08975638697909
1874-05-01,97.29705187591092
1874-06-01,97.5115233452624
1874-07-01,97.73336129618176
1874-08-01,97.96274662365016
1874-09-01,98.19983104734482
1874-10-01,98.44476264059871
1874-11-01,98.69767685169145
1874-12-01,98.95870421710846
1875-01-01,99.22799483707756
1875-02-01,99.50568206153184
1875-03-01,99.79187625213676
1875-04-01,100.08670486744751
1875-05-01,100.39031245041087
1875-06-01,100.70285576795344
1875-07-01,101.02452413990889
1875-08-01,101.3554958275425
1875-09-01,101.69590747151653
1875-10-01,102.04590850567476
1875-11-01,102.4056551480836
1875-12-01,102.7752807099917
1876-01-01,103.15491268027714
1876-02-01,103.5446500266114
1876-03-01,103.94454010088653
1876-04-01,104.35463253058255
1876-05-01,104.77499627658675
1876-06-01,105.20567224639026
1876-07-01,105.64668480000104
1876-08-01,106.09804760850596
1876-09-01,106.5597388692929
1876-10-01,107.03173198901898
1876-11-01,107.51400779915659
1876-12-01,108.00650888599894
1877-01-01,108.50913333831721
1877-02-01,109.02175700483943
1877-03-01,109.54421809639571
1877-04-01,110.07636079943941
1877-05-01,110.61807924834363
1877-06-01,111.16926568712037
1877-07-01,111.72982184394073
1877-08-01,112.29965520334999
1877-09-01,112.87863466798966
1877-10-01,113.4666541094343
1877-11-01,114.06364819128903
1877-12-01,114.66950177177385
1878-01-01,115.28403665941102
1878-02-01,115.90703549644016
1878-03-01,116.5381984159326
1878-04-01,117.17723240520522
1878-05-01,117.82392594601265
1878-06-01,118.47802146066023
1878-07-01,119.13922342511356
1878-08-01,119.80725813421644
1878-09-01,120.48182363124712
1878-10-01,121.16264524906322
1878-11-01,121.84952273213158
1878-12-01,122.54221340340224
1879-01-01,123.24040344997555
1879-02-01,123.94379199465077
1879-03-01,124.6520599893558
1879-04-01,125.36488862432135
1879-05-01,126.08202159944011
1879-06-01,126.80318437732163
1879-07-01,127.52807146537522
1879-08-01,128.2564098235836
1879-09-01,128.98793824708432
1879-10-01,129.72241052935306
1879-11-01,130.45962512869013
1879-12-01,131.19932868214036
1880-01-01,131.9411593819898
1880-02-01,132.68471959855992
1880-03-01,133.4295418113271
1880-04-01,134.17512693355755
1880-05-01,134.92102488563907
1880-06-01,135.66670825085842
1880-07-01,136.41155555016994
1880-08-01,137.1549815795448
1880-09-01,137.896433316821
1880-10-01,138.63538034021357
1880-11-01,139.37138312052755
1880-12-01,140.10394132967377
1881-01-01,140.83239222374013
1881-02-01,141.55609360274175
1881-03-01,142.2744012874524
1881-04-01,142.9866839497673
1881-05-01,143.69246576837426
1881-06-01,144.39128122644544
1881-07-01,145.08265165661933
1881-08-01,145.76619407102925
1881-09-01,146.44156574490876
1881-10-01,147.10851501108522
1881-11-01,147.7669477764307
1881-12-01,148.4167198890767
1882-01-01,149.05754602998022
1882-02-01,149.6891373683066
1882-03-01,150.3111253076645
1882-04-01,150.92319986676057
1882-05-01,151.5253016533726
1882-06-01,152.1173401121876
1882-07-01,152.6991863593808
1882-08-01,153.270774518475
1882-09-01,153.83195181193724
1882-10-01,154.38261353643202
1882-11-01,154.92278351632768
1882-12-01,155.45240761827588
1883-01-01,155.97134751250053
1883-02-01,156.4794511760294
1883-03-01,156.97647352946325
1883-04-01,157.4622646889497
1883-05-01,157.93693016818605
1883-06-01,158.40062466421716
1883-07-01,158.85360213278634
1883-08-01,159.29616670944873
1883-09-01,159.72847949883274
1883-10-01,160.15081781628695
1883-11-01,160.56361834892786
1883-12-01,160.96719344394526
1884-01-01,161.36174087771118
1884-02-01,161.74735540377696
1884-03-01,162.12387797886555
1884-04-01,162.49118906260824
1884-05-01,162.8493954907499
1884-06-01,163.19846295175478
1884-07-01,163.53825217507733
1884-08-01,163.8686649217108
1884-09-01,164.18949570202568
1884-10-01,164.50059261642002
1884-11-01,164.80197976605615
1884-12-01,165.09351107797866
1885-01-01,165.37477828799342
1885-02-01,165.64534738301873
1885-03-01,165.9046604456404
1885-04-01,166.15224556753705
1885-05-01,166.38801434924514
1885-06-01,166.6119186217447
1885-07-01,166.82398249006482
1885-08-01,167.02437242719648
1885-09-01,167.21316316816018
1885-10-01,167.39064397119552
1885-11-01,167.5574359114448
1885-12-01,167.71397291103767
1886-01-01,167.8603933128079
1886-02-01,167.99673015243337
1886-03-01,168.12267993871095
1886-04-01,168.23806158083738
1886-05-01,168.34324726931192
1886-06-01,168.43845687472918
